                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     45,                 1.7995,                  1.312,                  1.306,                 0.5264,                 0.5125,                0.49172,                 0.1679,                 2.2623,                 1.7776,                 1.5779,              0.0011288,              0.0011288,              0.0011288
                     46,                 1.8015,                 1.3117,                 1.3419,                0.62544,                0.51883,                0.54389,                0.20259,                 2.2654,                 1.5964,                  1.563,               0.001109,               0.001109,               0.001109
                     47,                 1.7718,                 1.2927,                 1.3273,                0.56601,                0.53929,                0.50167,                0.15064,                 2.4177,                 1.6071,                 1.6741,              0.0010892,              0.0010892,              0.0010892
                     48,                 1.7848,                 1.2971,                 1.3337,                0.63212,                0.53571,                0.55011,                0.17617,                  2.332,                 1.5548,                 1.6335,              0.0010694,              0.0010694,              0.0010694
                     49,                 1.7614,                 1.2974,                 1.3249,                  0.625,                0.53274,                0.53834,                0.17133,                 2.3514,                 1.5509,                 1.6159,              0.0010496,              0.0010496,              0.0010496
                     50,                  1.723,                  1.238,                 1.2868,                0.67327,                0.56071,                0.58052,                0.20205,                  2.272,                 1.5223,                 1.6061,              0.0010298,              0.0010298,              0.0010298
                     51,                 1.6649,                 1.1964,                 1.2886,                0.59881,                0.54643,                0.53579,                0.17398,                 2.3388,                 1.5969,                 1.6357,                0.00101,                0.00101,                0.00101
                     52,                 1.7377,                 1.2186,                 1.3243,                 0.6532,                   0.55,                0.56689,                0.20111,                 2.2047,                 1.5134,                 1.5425,              0.0009902,              0.0009902,              0.0009902
                     53,                 1.7481,                 1.2681,                 1.2806,                 0.6374,                  0.525,                0.51941,                0.16899,                 2.2957,                 1.6385,                 1.5824,              0.0009704,              0.0009704,              0.0009704
                     54,                 1.6879,                 1.2522,                 1.2836,                0.65915,                0.54464,                0.58316,                0.20779,                  2.235,                 1.4992,                 1.5309,              0.0009506,              0.0009506,              0.0009506
                     55,                 1.7007,                 1.2523,                 1.3247,                0.63842,                0.58571,                0.58964,                0.20749,                 2.2364,                 1.4959,                 1.5767,              0.0009308,              0.0009308,              0.0009308
                     56,                 1.6613,                 1.1991,                 1.2785,                0.62385,                0.55974,                0.58388,                0.20197,                 2.2486,                 1.5352,                 1.5793,               0.000911,               0.000911,               0.000911
                     57,                 1.7138,                    1.2,                 1.2828,                0.60473,                 0.5125,                0.53352,                0.18544,                 2.3176,                 1.5414,                 1.6296,              0.0008912,              0.0008912,              0.0008912
                     58,                 1.6914,                 1.1894,                 1.2746,                0.63534,                0.52679,                0.53828,                0.19074,                 2.2538,                 1.5191,                 1.5959,              0.0008714,              0.0008714,              0.0008714
                     59,                 1.6778,                 1.1932,                 1.2932,                0.64492,                0.55536,                0.57204,                0.19467,                 2.2439,                 1.4799,                 1.5961,              0.0008516,              0.0008516,              0.0008516
                     60,                 1.6845,                 1.1772,                 1.2728,                0.64552,                  0.575,                0.59834,                0.20738,                 2.2295,                 1.4317,                   1.59,              0.0008318,              0.0008318,              0.0008318
                     61,                 1.6922,                 1.1819,                 1.2891,                0.61916,                0.53999,                0.58083,                0.18933,                 2.3488,                 1.5662,                 1.6473,               0.000812,               0.000812,               0.000812
                     62,                 1.7008,                 1.1906,                 1.2969,                0.66496,                0.53036,                0.57782,                0.19387,                 2.2816,                 1.5952,                 1.6085,              0.0007922,              0.0007922,              0.0007922
                     63,                 1.6451,                 1.2067,                 1.2921,                0.61209,                0.48036,                0.51462,                0.15995,                 2.4338,                 1.6091,                 1.7074,              0.0007724,              0.0007724,              0.0007724
                     64,                 1.6403,                 1.1505,                 1.2511,                0.60394,                0.54286,                0.55319,                0.18852,                 2.3481,                 1.5317,                 1.6316,              0.0007526,              0.0007526,              0.0007526
                     65,                 1.6288,                 1.1613,                 1.2524,                0.64277,                0.55714,                0.58754,                 0.2137,                 2.2486,                 1.4552,                   1.56,              0.0007328,              0.0007328,              0.0007328
                     66,                 1.6161,                 1.1149,                 1.2613,                0.66231,                0.56038,                0.59356,                0.20628,                 2.3106,                 1.3857,                 1.5988,               0.000713,               0.000713,               0.000713
                     67,                 1.6213,                 1.0845,                  1.263,                0.66262,                0.55063,                0.60493,                0.21051,                 2.3019,                 1.4009,                 1.6082,              0.0006932,              0.0006932,              0.0006932
                     68,                 1.6467,                 1.0969,                 1.2466,                0.60504,                0.57143,                0.57702,                0.19874,                 2.3031,                 1.4541,                 1.6147,              0.0006734,              0.0006734,              0.0006734
                     69,                 1.5784,                 1.1156,                 1.2532,                0.60222,                0.54107,                0.54779,                0.16926,                 2.4211,                 1.5121,                 1.6975,              0.0006536,              0.0006536,              0.0006536
                     70,                 1.6557,                  1.103,                 1.2432,                0.65058,                  0.575,                0.60134,                0.20153,                 2.3003,                  1.372,                 1.6011,              0.0006338,              0.0006338,              0.0006338
                     71,                  1.611,                  1.097,                 1.2303,                0.66107,                0.58513,                0.62107,                0.21465,                 2.2536,                 1.3577,                 1.5655,               0.000614,               0.000614,               0.000614
                     72,                 1.6157,                 1.1116,                 1.2333,                0.64398,                0.55179,                0.58247,                0.19594,                 2.3489,                 1.4091,                 1.6133,              0.0005942,              0.0005942,              0.0005942
                     73,                  1.651,                 1.1005,                 1.2408,                0.68609,                0.53571,                0.60538,                0.22346,                 2.2455,                 1.4053,                 1.5489,              0.0005744,              0.0005744,              0.0005744
                     74,                 1.5805,                 1.1055,                 1.2473,                0.65435,                0.55103,                 0.5765,                0.19799,                 2.2979,                 1.3985,                  1.585,              0.0005546,              0.0005546,              0.0005546
                     75,                 1.6287,                 1.0798,                 1.2242,                0.70211,                0.54294,                0.59099,                0.20312,                 2.3075,                 1.3894,                 1.5966,              0.0005348,              0.0005348,              0.0005348
                     76,                 1.5291,                 1.0438,                 1.2206,                0.71258,                 0.5375,                 0.5933,                0.21046,                 2.2837,                 1.3461,                 1.5876,               0.000515,               0.000515,               0.000515
                     77,                 1.5641,                 1.0436,                 1.1956,                0.65576,                0.56129,                0.58814,                0.20514,                 2.3172,                 1.3747,                 1.5858,              0.0004952,              0.0004952,              0.0004952
                     78,                 1.5449,                 1.0542,                  1.216,                0.67035,                0.54105,                 0.5869,                0.18948,                 2.4004,                 1.4604,                 1.6279,              0.0004754,              0.0004754,              0.0004754
